iter	RMSE
0	0.02159847293
1	0.02105541914
2	0.02055781465
3	0.02002062882
4	0.01954830045
5	0.01911944258
6	0.01859086725
7	0.01810555056
8	0.0176269346
9	0.01713383241
10	0.01669385113
11	0.01627563241
12	0.01586631852
13	0.0155451253
14	0.0152056506
15	0.01481784951
16	0.01444963824
17	0.01412282277
18	0.0137649796
19	0.01342040349
20	0.0130920676
21	0.01277576468
22	0.0124612903
23	0.01217565816
24	0.0118844537
25	0.0116125068
26	0.01135140527
27	0.01109792139
28	0.01084650014
29	0.01061698973
30	0.01039828476
31	0.01016680147
32	0.009944984525
33	0.009755129832
34	0.00954740047
35	0.009344850667
36	0.009141591569
37	0.008931112305
38	0.008755441533
39	0.008590543961
40	0.008416022585
41	0.008246465251
42	0.008073112659
43	0.007918791068
44	0.007780836797
45	0.007653783092
46	0.007505773335
47	0.00737161581
48	0.007213492734
49	0.007074774512
50	0.006932448015
51	0.006820793745
52	0.006707073611
53	0.006592987314
54	0.0064989376
55	0.006389207689
56	0.006275454825
57	0.006174843582
58	0.006077741776
59	0.005989153107
60	0.005887210228
61	0.00578038411
62	0.005671024993
63	0.005567206579
64	0.00548743115
65	0.005379285533
66	0.005304266528
67	0.005217945159
68	0.005134468596
69	0.005068484078
70	0.005014151583
71	0.004947616527
72	0.004879076698
73	0.004805993033
74	0.004736938064
75	0.00465938761
76	0.004602472482
77	0.004523747654
78	0.004460008509
79	0.004393934226
80	0.004329398407
81	0.004270055651
82	0.00421417645
83	0.004150725347
84	0.004103683849
85	0.004050550888
86	0.003990069197
87	0.003933899039
88	0.003882203573
89	0.003863427703
90	0.00381976611
91	0.003768553973
92	0.003723586863
93	0.00368697348
94	0.003650267226
95	0.003606163907
96	0.003575120935
97	0.003528829749
98	0.00351218319
99	0.003470493091
100	0.003439684907
101	0.003403145078
102	0.003383039286
103	0.003351296573
104	0.003316858749
105	0.003281607669
106	0.003244490187
107	0.003218886154
108	0.00318761562
109	0.003165141073
110	0.003131933023
111	0.003121118469
112	0.003098153317
113	0.003067048655
114	0.003047295708
115	0.003029093567
116	0.00300575151
117	0.002996369573
118	0.00298305384
119	0.002961391345
120	0.002939914404
121	0.002922066701
122	0.002911339902
123	0.002885781692
124	0.002858942208
125	0.002846640494
126	0.002831417769
127	0.002820290307
128	0.002792711162
129	0.002768727434
130	0.002748787529
131	0.00274180619
132	0.002719931632
133	0.002697910588
134	0.002676104476
135	0.002666014075
136	0.002652231241
137	0.00264364164
138	0.002622544357
139	0.002604395133
140	0.002584126462
141	0.002569149459
142	0.0025597757
143	0.002542000959
144	0.002524220309
145	0.002508068728
146	0.002494737897
147	0.002488344211
148	0.002475041357
149	0.00246199245
150	0.002446019973
151	0.002430578229
152	0.002415853403
153	0.002401517948
154	0.002393241501
155	0.002386362503
156	0.002375161929
157	0.002361436191
158	0.002348788773
159	0.002337315118
160	0.002332494096
161	0.002327596929
162	0.002315802769
163	0.002308184612
164	0.002294970517
165	0.002285089023
166	0.002278522299
167	0.002274391864
168	0.002265750893
169	0.002260653907
170	0.002248845402
171	0.002237835178
172	0.002228706615
173	0.002219582987
174	0.002211840805
175	0.002204839778
176	0.002202068351
177	0.002195366538
178	0.002191799239
179	0.0021871851
180	0.002177505254
181	0.00216883394
182	0.002161343102
183	0.002155226606
184	0.002150177534
185	0.002141038172
186	0.002132788302
187	0.002126183612
188	0.002123274126
189	0.002115950139
190	0.002108727061
191	0.002100666471
192	0.002095579045
193	0.002088719609
194	0.002085623855
195	0.00208149892
196	0.002074315272
197	0.002067165542
198	0.002060793753
199	0.00205492172
200	0.002053285894
201	0.002049811325
202	0.002044492508
203	0.002042248255
204	0.002039568534
205	0.002033820043
206	0.002028841835
207	0.002026482132
208	0.002020984568
209	0.00201567232
210	0.002009724356
211	0.002005757672
212	0.002000742463
213	0.001997425366
214	0.001992837625
215	0.001989378485
216	0.001986147606
217	0.001981303281
218	0.001978232761
219	0.001975372002
220	0.001973769656
221	0.001971580974
222	0.00197009271
223	0.001968161333
224	0.001965604242
225	0.001963317338
226	0.001960748912
227	0.001958465151
228	0.001956437004
229	0.00195455275
230	0.001950451207
231	0.00194643746
232	0.001943896486
233	0.001940483794
234	0.001938650188
235	0.001936914752
236	0.00193523184
237	0.001932715002
238	0.001929945415
239	0.001928416495
240	0.001926840378
241	0.00192507212
242	0.001924000552
243	0.00191999164
244	0.001918143214
245	0.001914549539
246	0.001912652953
247	0.001909005901
248	0.001905972486
249	0.001904215957
250	0.001902904586
251	0.001900126663
252	0.001899212616
253	0.001896502407
254	0.001895215749
255	0.001894026625
256	0.001892651176
257	0.001891310024
258	0.00188857502
259	0.001887567393
260	0.001886424498
261	0.001884942877
262	0.001884147928
263	0.001883068462
264	0.001880520687
265	0.001879555393
266	0.001877948813
267	0.001876882831
268	0.001875924523
